"Id","Name","Parent","CPU","Threads","WorkingSet","Path"
"6880","AdobeCollabSync",,"23,40625","System.Diagnostics.ProcessThreadCollection","11919360","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe"
"7376","AdobeCollabSync",,"0,15625","System.Diagnostics.ProcessThreadCollection","344064","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe"
"8572","afwServ",,,"System.Diagnostics.ProcessThreadCollection","10616832",
"1560","AggregatorHost",,,"System.Diagnostics.ProcessThreadCollection","4837376",
"18824","AppHelperCap",,,"System.Diagnostics.ProcessThreadCollection","2789376",
"11016","ApplicationFrameHost",,"0,75","System.Diagnostics.ProcessThreadCollection","3784704","C:\WINDOWS\system32\ApplicationFrameHost.exe"
"5860","aswEngSrv",,,"System.Diagnostics.ProcessThreadCollection","92585984",
"6776","aswidsagent",,,"System.Diagnostics.ProcessThreadCollection","39845888",
"4628","aswToolsSvc",,,"System.Diagnostics.ProcessThreadCollection","24141824",
"15716","audiodg",,"1,640625","System.Diagnostics.ProcessThreadCollection","31191040",
"4784","AvastSvc",,,"System.Diagnostics.ProcessThreadCollection","123518976",
"2888","AvastUI",,"55,484375","System.Diagnostics.ProcessThreadCollection","45375488","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"4728","AvastUI",,"0,34375","System.Diagnostics.ProcessThreadCollection","5271552","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"14440","AvastUI",,"0,78125","System.Diagnostics.ProcessThreadCollection","10219520","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"17900","AvastUI",,"0,90625","System.Diagnostics.ProcessThreadCollection","12394496","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"18256","AvastUI",,"0,765625","System.Diagnostics.ProcessThreadCollection","5726208","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"13236","backgroundTaskHost",,"1,40625","System.Diagnostics.ProcessThreadCollection","6778880","C:\WINDOWS\system32\backgroundTaskHost.exe"
"15912","backgroundTaskHost",,"0,65625","System.Diagnostics.ProcessThreadCollection","69632","C:\WINDOWS\system32\backgroundTaskHost.exe"
"19524","backgroundTaskHost",,"0,140625","System.Diagnostics.ProcessThreadCollection","57344","C:\windows\system32\backgroundTaskHost.exe"
"15616","CCleaner",,"0,546875","System.Diagnostics.ProcessThreadCollection","5087232",
