"Id","Name","Parent","CPU","Threads","WorkingSet","Path"
"6296","Code",,"20,234375","System.Diagnostics.ProcessThreadCollection","14118912","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"8360","Code",,"12,234375","System.Diagnostics.ProcessThreadCollection","21536768","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"8784","Code",,"1,75","System.Diagnostics.ProcessThreadCollection","1048576","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"10480","Code",,"204,515625","System.Diagnostics.ProcessThreadCollection","212164608","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"10840","Code",,"30,21875","System.Diagnostics.ProcessThreadCollection","66969600","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"11592","Code",,"2,1875","System.Diagnostics.ProcessThreadCollection","11632640","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"17520","Code",,"0,0625","System.Diagnostics.ProcessThreadCollection","933888","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"19152","Code",,"2,359375","System.Diagnostics.ProcessThreadCollection","65536","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"19536","Code",,"5,578125","System.Diagnostics.ProcessThreadCollection","18300928","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"8668","conhost",,"0,0625","System.Diagnostics.ProcessThreadCollection","192512","C:\WINDOWS\system32\conhost.exe"
"14940","conhost",,"0,953125","System.Diagnostics.ProcessThreadCollection","1404928","C:\WINDOWS\system32\conhost.exe"
"8872","Copilot",,"8,109375","System.Diagnostics.ProcessThreadCollection","20172800","C:\Program Files\WindowsApps\Microsoft.Copilot_1.25121.73.0_x64__8wekyb3d8bbwe\Copilot.exe"
"23304","crashhelper",,"0","System.Diagnostics.ProcessThreadCollection","1183744","C:\Program Files\Mozilla Firefox\crashhelper.exe"
