"Id","Name","Parent","CPU","Threads","WorkingSet","Path"
"6296","Code",,"20,21875","System.Diagnostics.ProcessThreadCollection","14172160","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"8360","Code",,"12,21875","System.Diagnostics.ProcessThreadCollection","22462464","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"8784","Code",,"1,75","System.Diagnostics.ProcessThreadCollection","1011712","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"10480","Code",,"203,8125","System.Diagnostics.ProcessThreadCollection","212283392","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"10840","Code",,"30,21875","System.Diagnostics.ProcessThreadCollection","67366912","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"11592","Code",,"2,1875","System.Diagnostics.ProcessThreadCollection","12541952","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"17520","Code",,"0,0625","System.Diagnostics.ProcessThreadCollection","921600","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"19152","Code",,"2,359375","System.Diagnostics.ProcessThreadCollection","28672","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"19536","Code",,"5,578125","System.Diagnostics.ProcessThreadCollection","18333696","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"8668","conhost",,"0,0625","System.Diagnostics.ProcessThreadCollection","172032","C:\WINDOWS\system32\conhost.exe"
"14940","conhost",,"0,90625","System.Diagnostics.ProcessThreadCollection","1396736","C:\WINDOWS\system32\conhost.exe"
"8872","Copilot",,"8,109375","System.Diagnostics.ProcessThreadCollection","20164608","C:\Program Files\WindowsApps\Microsoft.Copilot_1.25121.73.0_x64__8wekyb3d8bbwe\Copilot.exe"
"23304","crashhelper",,"0","System.Diagnostics.ProcessThreadCollection","2281472","C:\Program Files\Mozilla Firefox\crashhelper.exe"
"6692","CrossDeviceResume",,"1,09375","System.Diagnostics.ProcessThreadCollection","2322432","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe"
"1080","csrss",,,"System.Diagnostics.ProcessThreadCollection","2248704",
"19012","csrss",,,"System.Diagnostics.ProcessThreadCollection","1613824",
"19368","ctfmon",,"29,171875","System.Diagnostics.ProcessThreadCollection","11329536",
"2720","DiagsCap",,,"System.Diagnostics.ProcessThreadCollection","4096",
"7260","dllhost",,"0,015625","System.Diagnostics.ProcessThreadCollection","10014720","C:\WINDOWS\system32\DllHost.exe"
"8736","dllhost",,"0,078125","System.Diagnostics.ProcessThreadCollection","3280896","C:\WINDOWS\system32\DllHost.exe"
"17760","dllhost",,"0,078125","System.Diagnostics.ProcessThreadCollection","2899968","C:\WINDOWS\system32\DllHost.exe"
"16676","dwm",,,"System.Diagnostics.ProcessThreadCollection","36708352",
"11172","EXCEL",,"3,78125","System.Diagnostics.ProcessThreadCollection","5689344","C:\Program Files (x86)\Microsoft Office\Office16\EXCEL.EXE"
"3236","explorer",,"166,0625","System.Diagnostics.ProcessThreadCollection","138027008","C:\WINDOWS\Explorer.EXE"
"1212","firefox",,"0,109375","System.Diagnostics.ProcessThreadCollection","6467584","C:\Program Files\Mozilla Firefox\firefox.exe"
"6280","firefox",,"0,140625","System.Diagnostics.ProcessThreadCollection","13000704","C:\Program Files\Mozilla Firefox\firefox.exe"
"7228","firefox",,"0,1875","System.Diagnostics.ProcessThreadCollection","10985472","C:\Program Files\Mozilla Firefox\firefox.exe"
"13848","firefox",,"1,421875","System.Diagnostics.ProcessThreadCollection","34181120","C:\Program Files\Mozilla Firefox\firefox.exe"
"13976","firefox",,"89,5625","System.Diagnostics.ProcessThreadCollection","57593856","C:\Program Files\Mozilla Firefox\firefox.exe"
"14120","firefox",,"0,171875","System.Diagnostics.ProcessThreadCollection","11554816","C:\Program Files\Mozilla Firefox\firefox.exe"
"16836","firefox",,"16,78125","System.Diagnostics.ProcessThreadCollection","27852800","C:\Program Files\Mozilla Firefox\firefox.exe"
"18140","firefox",,"0,109375","System.Diagnostics.ProcessThreadCollection","7442432","C:\Program Files\Mozilla Firefox\firefox.exe"
"20036","firefox",,"0,59375","System.Diagnostics.ProcessThreadCollection","22347776","C:\Program Files\Mozilla Firefox\firefox.exe"
"22008","firefox",,"0,078125","System.Diagnostics.ProcessThreadCollection","7716864","C:\Program Files\Mozilla Firefox\firefox.exe"
"23836","firefox",,"48,625","System.Diagnostics.ProcessThreadCollection","216162304","C:\Program Files\Mozilla Firefox\firefox.exe"
"24384","firefox",,"0,234375","System.Diagnostics.ProcessThreadCollection","11206656","C:\Program Files\Mozilla Firefox\firefox.exe"
"7208","fontdrvhost",,,"System.Diagnostics.ProcessThreadCollection","372736",
"18560","fontdrvhost",,,"System.Diagnostics.ProcessThreadCollection","40960",
"14660","HPAudioSwitch",,"3,640625","System.Diagnostics.ProcessThreadCollection","6905856","C:\Program Files (x86)\HP\HPAudioSwitch\HPAudioSwitch.exe"
"7516","HPEnhancedLighting.Bg",,"0,28125","System.Diagnostics.ProcessThreadCollection","2007040","C:\Program Files\WindowsApps\AD2F1837.HPEnhance_1.4.4.0_x64__v10z8vjag6ke6\Win32\HPEnhancedLighting.Bg.exe"
"10328","HPMediaNetwork",,"1,640625","System.Diagnostics.ProcessThreadCollection","14602240","C:\Program Files\HP\HP Media Network\HPMediaNetwork.exe"
"19244","HPPrintScanDoctorService",,,"System.Diagnostics.ProcessThreadCollection","8192",
"15300","HPSystemEventUtilityBackground",,"22,328125","System.Diagnostics.ProcessThreadCollection","11653120","C:\Program Files\WindowsApps\AD2F1837.HPSystemEventUtility_3.2.15.0_x64__v10z8vjag6ke6\SystemEventUtility\HPSystemEventUtilityBackground.exe"
"23724","HPSystemEventUtilityHost",,"0,609375","System.Diagnostics.ProcessThreadCollection","4194304","C:\Program Files\WindowsApps\AD2F1837.HPSystemEventUtility_3.2.15.0_x64__v10z8vjag6ke6\SystemEventUtility\HPSystemEventUtilityHost.exe"
"0","Idle",,,"System.Diagnostics.ProcessThreadCollection","8192",
"7748","ipf_helper",,"11,78125","System.Diagnostics.ProcessThreadCollection","1150976","C:\WINDOWS\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_cf5beef3831571d4\ipf_helper.exe"
"16184","ipf_uf",,,"System.Diagnostics.ProcessThreadCollection","1908736",
"8100","ipfsvc",,,"System.Diagnostics.ProcessThreadCollection","4096",
